,height_x,weight_x,collegeName,Full Name,Team,Position,yearsPro,overall_rating,teamId,nflId,age
35,6-2,220,Texas Christian,Andy Dalton,Saints,QB,11.0,70.0,27.0,37110,34.0
37,6-2,315,Florida State,Rodney Hudson,Cardinals,C,11.0,89.0,7.0,37130,33.0
38,5-10,192,Kentucky,Randall Cobb,Packers,WR,11.0,78.0,20.0,37139,32.0
39,6-3,270,Georgia,Justin Houston,Ravens,LOLB,11.0,79.0,25.0,37145,33.0
41,6-1,215,Virginia Tech,Tyrod Taylor,Giants,QB,11.0,69.0,16.0,37255,33.0
42,6-3,295,Cincinnati,Jason Kelce,Eagles,C,11.0,90.0,13.0,37266,34.0
43,6-4,315,Arizona State,Lawrence Guy,Patriots,RE,11.0,76.0,22.0,37308,32.0
45,6-1,235,Auburn,Josh Bynes,Ravens,MLB,11.0,74.0,25.0,37778,33.0
46,6-1,250,Central Michigan,Nick Bellore,Seahawks,FB,11.0,63.0,28.0,37792,33.0
47,6-3,260,Troy,Mario Addison,Texans,LE,11.0,73.0,32.0,37841,34.0
48,6-4,207,Texas A&amp;M,Ryan Tannehill,Titans,QB,10.0,83.0,30.0,38538,34.0
49,6-1,202,South Carolina,Stephon Gilmore,Colts,CB,10.0,91.0,10.0,38540,31.0
50,6-4,310,Mississippi State,Fletcher Cox,Eagles,DT,10.0,88.0,13.0,38542,31.0
51,6-5,305,Louisiana State,Michael Brockers,Lions,RE,10.0,73.0,19.0,38544,31.0
53,6-2,247,South Carolina,Melvin Ingram,Dolphins,LOLB,10.0,84.0,12.0,38548,33.0
54,6-5,265,Syracuse,Chandler Jones,Raiders,ROLB,10.0,90.0,23.0,38551,32.0
56,6-4,315,Wisconsin,Kevin Zeitler,Ravens,RG,10.0,85.0,25.0,38557,32.0
57,6-2,214,Notre Dame,Harrison Smith,Vikings,SS,10.0,90.0,31.0,38559,33.0
58,6-0,242,Utah State,Bobby Wagner,Rams,MLB,10.0,91.0,24.0,38577,32.0
59,6-1,233,Nebraska,Lavonte David,Buccaneers,MLB,10.0,92.0,6.0,38588,32.0
60,6-3,279,Marshall,Vinny Curry,Jets,LE,10.0,74.0,18.0,38589,34.0
62,5-11,215,Wisconsin,Russell Wilson,Broncos,QB,10.0,87.0,4.0,38605,33.0
63,6-2,248,Arkansas State,Demario Davis,Saints,MLB,10.0,93.0,27.0,38607,33.0
64,6-6,243,Arizona,Nick Foles,Colts,QB,10.0,68.0,10.0,38618,33.0
65,6-4,352,"Regina, Can.",Akiem Hicks,Buccaneers,RE,10.0,84.0,6.0,38619,32.0
66,6-3,308,Georgia,Ben Jones,Titans,C,10.0,81.0,30.0,38629,33.0
67,6-3,202,Michigan State,Kirk Cousins,Vikings,QB,10.0,80.0,31.0,38632,34.0
68,6-8,321,Purdue,Dennis Kelly,Colts,RT,10.0,70.0,10.0,38683,32.0
70,6-0,200,Presbyterian,Justin Bethel,Patriots,SS,10.0,68.0,22.0,38707,32.0
73,5-11,195,Stanford,Michael Thomas,Saints,WR,6.0,90.0,27.0,38852,29.0
74,5-11,195,Stanford,Michael Thomas,Bengals,SS,10.0,71.0,2.0,38852,32.0
76,6-1,215,Houston,Case Keenum,Bills,QB,10.0,65.0,3.0,38937,34.0
78,5-11,220,Mississippi,Brandon Bolden,Raiders,HB,10.0,70.0,23.0,39212,32.0
79,6-3,225,Baylor,Josh Gordon,Chiefs,WR,10.0,74.0,9.0,39646,31.0
80,6-3,305,Pennsylvania,Greg Van Roten,Bills,RG,9.0,67.0,3.0,39684,32.0
81,6-2,220,"California, Pa.",Erik Harris,Falcons,FS,7.0,73.0,14.0,39908,32.0
83,6-6,317,Oklahoma,Lane Johnson,Eagles,RT,9.0,92.0,13.0,39950,32.0
84,6-5,311,Syracuse,Justin Pugh,Cardinals,LG,9.0,79.0,7.0,39965,32.0
85,6-1,212,Clemson,DeAndre Hopkins,Cardinals,WR,9.0,96.0,7.0,39973,30.0
86,6-2,238,Tennessee,Cordarrelle Patterson,Falcons,HB,9.0,85.0,14.0,39975,31.0
87,6-5,250,Stanford,Zach Ertz,Cardinals,TE,9.0,84.0,7.0,39983,31.0
89,6-3,221,West Virginia,Geno Smith,Seahawks,QB,9.0,60.0,28.0,39987,31.0
90,6-0,193,Southern California,Robert Woods,Titans,WR,9.0,86.0,30.0,39989,30.0
91,6-3,340,Ohio State,Johnathan Hankins,Raiders,DT,9.0,74.0,23.0,39997,30.0
94,6-5,260,Cincinnati,Travis Kelce,Chiefs,TE,9.0,98.0,9.0,40011,32.0
95,5-9,190,Louisiana State,Tyrann Mathieu,Saints,SS,9.0,94.0,27.0,40017,30.0
96,6-5,304,Arkansas-Pine Bluff,Terron Armstead,Dolphins,LT,9.0,93.0,12.0,40023,31.0
97,6-2,211,California,Keenan Allen,Chargers,WR,9.0,91.0,8.0,40024,30.0
98,5-9,179,Texas,Marquise Goodwin,Seahawks,WR,9.0,74.0,28.0,40026,31.0
99,6-3,327,Georgia,John Jenkins,Dolphins,DT,9.0,71.0,12.0,40030,33.0
100,5-11,195,Rutgers,Logan Ryan,Buccaneers,SS,9.0,80.0,6.0,40031,31.0
101,6-1,205,Rutgers,Duron Harmon,Raiders,SS,9.0,77.0,23.0,40039,31.0
103,6-4,310,Colorado,David Bakhtiari,Packers,LT,9.0,94.0,20.0,40057,30.0
104,6-6,281,Michigan State,William Gholston,Buccaneers,LE,9.0,76.0,6.0,40074,31.0
105,6-1,240,Harvard,Kyle Juszczyk,49ers,FB,9.0,87.0,15.0,40078,31.0
107,6-3,263,Buffalo,Steven Means,Ravens,LOLB,9.0,69.0,25.0,40095,31.0
109,6-0,197,Iowa,Micah Hyde,Bills,FS,9.0,91.0,3.0,40107,31.0
110,6-5,310,San Jose State,David Quessenberry,Bills,RT,5.0,73.0,3.0,40124,32.0
112,5-10,215,Nebraska,Rex Burkhead,Texans,HB,9.0,72.0,32.0,40138,32.0
113,6-6,255,Connecticut,Ryan Griffin,Bears,TE,9.0,69.0,1.0,40149,32.0
114,6-6,255,Connecticut,Ryan Griffin,Buccaneers,QB,9.0,54.0,6.0,40149,32.0
115,6-0,191,Oregon State,Jordan Poyer,Bills,SS,9.0,90.0,3.0,40166,31.0
117,6-3,328,Wyoming,Mike Purcell,Broncos,DT,7.0,70.0,4.0,40347,31.0
119,6-2,200,Minn. State-Mankato,Adam Thielen,Vikings,WR,9.0,88.0,31.0,40488,32.0
122,6-2,300,Iowa,James Ferentz,Patriots,C,8.0,53.0,22.0,41069,33.0
123,6-5,255,South Carolina,Jadeveon Clowney,Browns,LE,8.0,82.0,5.0,41227,29.0
124,6-1,211,Clemson,Sammy Watkins,Packers,WR,8.0,79.0,20.0,41230,29.0
125,6-3,269,Buffalo,Khalil Mack,Chargers,ROLB,8.0,92.0,8.0,41231,31.0
126,6-5,309,Texas A&amp;M,Jake Matthews,Falcons,LT,8.0,81.0,14.0,41232,30.0
127,6-5,231,Texas A&amp;M,Mike Evans,Buccaneers,WR,8.0,92.0,6.0,41233,29.0
129,6-7,309,Michigan,Taylor Lewan,Titans,LT,8.0,81.0,30.0,41237,31.0
130,6-1,280,Pittsburgh,Aaron Donald,Rams,RE,8.0,99.0,24.0,41239,31.0
131,5-11,194,Virginia Tech,Kyle Fuller,Ravens,CB,8.0,80.0,25.0,41240,30.0
132,5-11,194,Virginia Tech,Kyle Fuller,Seahawks,C,5.0,59.0,28.0,41240,28.0
133,6-4,315,Notre Dame,Zack Martin,Cowboys,RG,8.0,98.0,11.0,41242,31.0
134,6-2,250,Alabama,C.J. Mosley,Jets,MLB,8.0,82.0,18.0,41243,30.0
135,6-6,312,Tennessee,Ja'Wuan James,Ravens,RT,8.0,74.0,25.0,41245,30.0
136,5-10,183,Oregon State,Brandin Cooks,Texans,WR,8.0,87.0,32.0,41246,28.0
137,5-11,193,Northern Illinois,Jimmie Ward,49ers,SS,8.0,87.0,15.0,41256,31.0
138,5-11,194,Ohio State,Bradley Roby,Saints,CB,8.0,79.0,27.0,41257,30.0
139,6-2,215,Louisville,Teddy Bridgewater,Dolphins,QB,8.0,75.0,12.0,41258,29.0
141,6-4,320,Nevada,Joel Bitonio,Browns,LG,8.0,90.0,5.0,41264,30.0
142,6-3,210,Fresno State,Derek Carr,Raiders,QB,8.0,83.0,23.0,41265,31.0
143,6-3,250,Brigham Young,Kyle Van Noy,Chargers,ROLB,8.0,78.0,8.0,41269,31.0
144,5-8,185,Florida State,Lamarcus Joyner,Jets,FS,8.0,78.0,18.0,41270,31.0
146,6-1,215,Fresno State,Davante Adams,Raiders,WR,8.0,99.0,23.0,41282,29.0
148,6-2,225,Eastern Illinois,Jimmy Garoppolo,49ers,QB,8.0,77.0,15.0,41291,30.0
149,5-11,196,Louisiana State,Jarvis Landry,Saints,WR,8.0,83.0,27.0,41292,29.0
150,6-6,315,Missouri,Justin Britt,Texans,C,7.0,73.0,32.0,41293,31.0
151,6-6,330,Virginia,Morgan Moses,Ravens,RT,8.0,75.0,25.0,41295,31.0
152,6-5,310,North Dakota State,Billy Turner,Broncos,RT,8.0,72.0,4.0,41296,30.0
153,6-2,235,Iowa,Christian Kirksey,Texans,MLB,8.0,75.0,32.0,41300,30.0
154,6-3,336,Mississippi State,Gabe Jackson,Seahawks,RG,8.0,78.0,28.0,41310,31.0
155,6-3,315,Louisiana State,Trai Turner,Commanders,RG,8.0,77.0,26.0,41321,29.0
157,5-9,205,Georgia Southern,Jerick McKinnon,Chiefs,HB,8.0,75.0,9.0,41325,30.0
158,6-4,257,California,Richard Rodgers,Eagles,TE,8.0,65.0,13.0,41327,30.0
159,6-2,350,Louisiana Tech,Justin Ellis,Giants,DT,8.0,68.0,16.0,41336,31.0
160,6-4,322,Penn State,DaQuan Jones,Bills,DT,8.0,75.0,3.0,41341,30.0
161,6-6,250,Virginia Tech,Logan Thomas,Commanders,TE,8.0,78.0,26.0,41349,31.0
162,6-2,200,North Carolina State,Dontae Johnson,49ers,CB,8.0,70.0,15.0,41358,30.0
163,6-0,230,Boston College,Kevin Pierre-Louis,Texans,LOLB,8.0,68.0,32.0,41361,30.0
164,6-7,300,Virginia,Brent Urban,Ravens,LE,8.0,73.0,25.0,41363,31.0
166,6-3,301,Ohio State,Corey Linsley,Chargers,C,8.0,91.0,8.0,41390,31.0
167,6-3,256,Southern California,Devon Kennard,Cardinals,ROLB,8.0,74.0,7.0,41403,31.0
168,6-2,290,Illinois State,Shelby Harris,Seahawks,LE,8.0,77.0,28.0,41464,31.0
170,5-11,190,Oregon,Terrance Mitchell,Patriots,CB,8.0,73.0,22.0,41483,30.0
172,6-5,310,North Carolina,James Hurst,Saints,LT,8.0,72.0,27.0,41532,30.0
174,6-4,332,Colorado State-Pueblo,Mike Pennel,Bears,DT,9.0,72.0,1.0,41595,31.0
175,6-1,232,South Carolina State,Joe Thomas,Bears,LOLB,8.0,70.0,1.0,41599,31.0
176,6-3,317,Central Florida,Justin McCray,Texans,LG,7.0,64.0,32.0,41630,30.0
177,6-3,310,Clemson,Tyler Shatley,Jaguars,C,8.0,66.0,17.0,41665,31.0
178,6-6,306,James Madison,Josh Wells,Buccaneers,RT,8.0,65.0,6.0,41667,31.0
179,6-4,325,Utah State,Tyler Larsen,Commanders,C,7.0,65.0,26.0,41707,31.0
180,5-11,224,Oklahoma,Damien Williams,Falcons,HB,8.0,76.0,14.0,41712,30.0
182,6-0,240,San Jose State,Keith Smith,Falcons,FB,8.0,61.0,14.0,41808,30.0
183,6-2,250,Colorado State,Shaquil Barrett,Buccaneers,LOLB,8.0,88.0,6.0,41915,29.0
184,6-6,325,Ohio State,Andrew Norwell,Commanders,LG,8.0,82.0,26.0,41939,30.0
186,6-6,330,Bloomsburg,Matt Feiler,Chargers,LG,7.0,78.0,8.0,41959,30.0
187,5-9,183,Pittsburgh,K'Waun Williams,Broncos,CB,7.0,77.0,4.0,42030,31.0
188,6-5,285,Mississippi State,Denico Autry,Titans,LE,8.0,79.0,30.0,42031,32.0
189,6-5,245,Harvard,Cameron Brate,Buccaneers,TE,8.0,73.0,6.0,42033,31.0
190,5-11,210,Texas,Adrian Phillips,Patriots,SS,8.0,82.0,22.0,42116,30.0
191,6-6,255,Canisius,Chris Manhertz,Jaguars,TE,7.0,70.0,17.0,42302,30.0
192,6-6,265,No College,Efe Obada,Commanders,LE,4.0,72.0,26.0,42331,30.0
193,6-4,231,Florida State,Jameis Winston,Saints,QB,7.0,76.0,27.0,42344,28.0
194,6-4,222,Oregon,Marcus Mariota,Falcons,QB,7.0,71.0,14.0,42345,28.0
196,6-1,211,Alabama,Amari Cooper,Browns,WR,7.0,90.0,5.0,42347,28.0
197,6-5,315,Iowa,Brandon Scherff,Jaguars,RG,7.0,87.0,17.0,42348,30.0
198,6-5,302,Southern California,Leonard Williams,Giants,RE,7.0,83.0,16.0,42349,28.0
199,6-3,216,West Virginia,Kevin White,Saints,WR,7.0,67.0,27.0,42350,30.0
200,6-7,316,Stanford,Andrus Peat,Saints,LG,7.0,74.0,27.0,42356,28.0
201,6-3,216,Louisville,DeVante Parker,Patriots,WR,7.0,82.0,22.0,42357,29.0
203,6-7,292,Oregon,Arik Armstead,49ers,LE,7.0,86.0,15.0,42360,28.0
204,6-0,197,Washington,Marcus Peters,Ravens,CB,7.0,86.0,25.0,42361,29.0
205,6-5,313,Florida State,Cameron Erving,Panthers,RT,7.0,68.0,21.0,42362,30.0
206,6-0,198,Southern California,Nelson Agholor,Patriots,WR,7.0,81.0,22.0,42363,29.0
207,6-5,310,Texas A&amp;M,Cedric Ogbuehi,Texans,LT,7.0,61.0,32.0,42364,30.0
208,6-4,269,Kentucky,Bud Dupree,Titans,LOLB,7.0,74.0,30.0,42365,29.0
209,6-5,307,Florida,D.J. Humphries,Cardinals,LT,7.0,75.0,7.0,42367,28.0
210,6-0,230,Washington,Shaq Thompson,Panthers,ROLB,7.0,84.0,21.0,42368,28.0
211,6-2,215,Central Florida,Breshad Perriman,Buccaneers,WR,7.0,71.0,6.0,42369,28.0
212,6-3,312,Duke,Laken Tomlinson,Jets,LG,7.0,81.0,18.0,42371,30.0
215,6-6,338,Penn State,Donovan Smith,Buccaneers,LT,7.0,76.0,6.0,42377,29.0
217,6-5,265,Mississippi State,Preston Smith,Packers,ROLB,7.0,82.0,20.0,42381,29.0
218,6-0,232,UCLA,Eric Kendricks,Vikings,MLB,7.0,88.0,31.0,42388,30.0
219,6-1,205,Utah,Eric Rowe,Dolphins,SS,7.0,80.0,12.0,42390,29.0
220,5-11,240,Miami,Denzel Perryman,Raiders,MLB,7.0,82.0,23.0,42391,29.0
221,6-6,305,Missouri,Mitch Morse,Bills,C,7.0,79.0,3.0,42392,30.0
222,5-11,193,Florida State,Ronald Darby,Broncos,CB,7.0,78.0,4.0,42393,28.0
223,6-6,341,Oklahoma,Jordan Phillips,Bills,DT,7.0,74.0,3.0,42395,29.0
224,5-9,203,Nebraska,Ameer Abdullah,Raiders,HB,7.0,70.0,23.0,42397,29.0
225,6-4,252,Minnesota,Maxx Williams,Cardinals,TE,7.0,76.0,7.0,42398,28.0
226,6-8,328,Wisconsin,Rob Havenstein,Rams,RT,7.0,85.0,24.0,42400,30.0
227,6-3,260,Missouri,Markus Golden,Cardinals,LOLB,7.0,78.0,7.0,42401,31.0
228,6-5,255,Nebraska,Randy Gregory,Broncos,ROLB,7.0,81.0,4.0,42403,29.0
229,6-3,260,Michigan,Frank Clark,Chiefs,RE,7.0,78.0,9.0,42406,29.0
230,6-3,325,South Carolina,A.J. Cann,Texans,RG,7.0,73.0,32.0,42410,30.0
231,5-10,182,Kansas State,Tyler Lockett,Seahawks,WR,7.0,90.0,28.0,42412,29.0
232,6-1,210,Indiana,Tevin Coleman,Jets,HB,7.0,72.0,18.0,42416,29.0
233,6-3,205,Georgia,Chris Conley,Texans,WR,7.0,73.0,32.0,42419,29.0
234,6-0,196,Florida State,P.J. Williams,Saints,FS,7.0,75.0,27.0,42421,29.0
235,6-1,236,Texas,Jordan Hicks,Vikings,MLB,7.0,77.0,31.0,42427,30.0
236,6-6,250,Rutgers,Tyler Kroft,49ers,TE,7.0,70.0,15.0,42428,29.0
237,6-5,252,Louisiana State,Danielle Hunter,Vikings,LOLB,7.0,88.0,31.0,42431,27.0
238,6-5,320,Iowa,Carl Davis,Patriots,DT,7.0,67.0,22.0,42433,30.0
239,6-6,301,Stanford,Henry Anderson,Patriots,LE,7.0,72.0,22.0,42436,31.0
241,5-11,194,Oregon State,Steven Nelson,Texans,CB,7.0,80.0,32.0,42441,29.0
242,6-4,318,Auburn,Angelo Blackson,Bears,DT,7.0,68.0,1.0,42443,29.0
244,5-9,177,Duke,Jamison Crowder,Bills,WR,7.0,80.0,3.0,42448,29.0
245,6-4,272,Kentucky,Za'Darius Smith,Vikings,ROLB,7.0,86.0,31.0,42465,29.0
247,5-9,221,South Carolina,Mike Davis,Ravens,HB,7.0,76.0,25.0,42469,29.0
248,6-0,243,Minnesota,Damien Wilson,Panthers,MLB,7.0,74.0,21.0,42470,29.0
249,6-4,323,Miami,Jon Feliciano,Giants,C,7.0,72.0,16.0,42471,30.0
251,6-4,309,Florida,Max Garcia,Giants,C,7.0,63.0,16.0,42476,30.0
252,6-4,310,West Virginia,Mark Glowinski,Giants,RG,7.0,76.0,16.0,42477,30.0
253,6-0,305,Clemson,Grady Jarrett,Falcons,RE,7.0,85.0,14.0,42480,29.0
254,6-0,214,Penn State,Adrian Amos,Packers,SS,7.0,88.0,20.0,42485,29.0
256,5-11,192,Memphis,Bobby McCain,Commanders,FS,7.0,78.0,26.0,42488,29.0
257,6-0,191,Maryland,Stefon Diggs,Bills,WR,7.0,95.0,3.0,42489,28.0
258,6-6,260,Auburn,C.J. Uzomah,Jets,TE,7.0,79.0,18.0,42500,29.0
260,6-0,240,Rutgers,Michael Burton,Chiefs,FB,7.0,69.0,9.0,42511,30.0
261,6-2,245,Texas State,David Mayo,Commanders,LOLB,7.0,69.0,26.0,42512,29.0
262,6-4,270,Delaware,Nick Boyle,Ravens,TE,7.0,77.0,25.0,42514,29.0
263,5-9,197,Texas,Quandre Diggs,Seahawks,FS,7.0,84.0,28.0,42543,29.0
264,6-6,255,Georgia Tech,Darren Waller,Raiders,TE,6.0,91.0,23.0,42547,29.0
266,6-2,305,Rice,Christian Covington,Chargers,DT,7.0,71.0,8.0,42559,28.0
267,6-2,307,Southern Mississippi,Rakeem Nunez-Roches,Buccaneers,DT,7.0,69.0,6.0,42560,29.0
268,6-5,310,Florida State,Bobby Hart,Bills,RT,7.0,63.0,3.0,42569,28.0
270,6-4,260,Texas,Geoff Swaim,Titans,TE,7.0,67.0,30.0,42589,28.0
271,6-3,220,Northwestern,Trevor Siemian,Bears,QB,6.0,61.0,1.0,42593,30.0
272,6-4,320,Louisiana State,La'el Collins,Bengals,RT,7.0,87.0,2.0,42654,29.0
273,5-10,197,Purdue,Raheem Mostert,Dolphins,HB,7.0,78.0,12.0,42718,30.0
274,6-6,263,Texas-El Paso,Eric Tomlinson,Broncos,TE,5.0,67.0,4.0,42721,30.0
275,6-2,234,Marshall,Neville Hewitt,Texans,ROLB,7.0,68.0,32.0,42771,29.0
276,5-8,190,Sacramento State,DeAndre Carter,Chargers,WR,6.0,72.0,8.0,42794,29.0
277,5-11,184,Oregon,Troy Hill,Rams,CB,7.0,78.0,24.0,42816,31.0
278,6-4,209,Wisconsin-Whitewater,Jake Kumerow,Bills,WR,6.0,69.0,3.0,42818,30.0
279,6-1,292,Clemson,DeShawn Williams,Broncos,RE,7.0,69.0,4.0,42826,29.0
280,5-11,190,Tennessee,Justin Coleman,Seahawks,CB,7.0,74.0,28.0,42827,29.0
281,6-1,210,Old Dominion,Taylor Heinicke,Commanders,QB,7.0,69.0,26.0,42831,29.0
283,6-3,300,Georgia,David Andrews,Patriots,C,7.0,85.0,22.0,42883,30.0
284,5-9,180,South Carolina,Damiere Byrd,Falcons,WR,7.0,74.0,14.0,42899,29.0
285,6-1,208,James Madison,Dean Marlowe,Falcons,SS,7.0,71.0,14.0,42901,30.0
286,6-2,242,Montana State,Alex Singleton,Broncos,MLB,4.0,72.0,4.0,42929,28.0
287,5-9,188,Rice,Bryce Callahan,Chargers,CB,7.0,82.0,8.0,42935,30.0
288,6-4,310,Toledo,Greg Mancz,Bills,C,6.0,61.0,3.0,42954,30.0
290,6-4,223,California,Jared Goff,Lions,QB,6.0,72.0,19.0,43290,27.0
291,6-5,237,North Dakota State,Carson Wentz,Commanders,QB,6.0,73.0,26.0,43291,29.0
292,6-5,280,Ohio State,Joey Bosa,Chargers,LOLB,6.0,91.0,8.0,43292,27.0
293,6-0,228,Ohio State,Ezekiel Elliott,Cowboys,HB,6.0,88.0,11.0,43293,27.0
294,6-1,208,Florida State,Jalen Ramsey,Rams,CB,6.0,98.0,24.0,43294,27.0
295,6-6,315,Notre Dame,Ronnie Stanley,Ravens,LT,6.0,90.0,25.0,43295,28.0
296,6-7,300,Oregon,DeForest Buckner,Colts,DT,6.0,90.0,10.0,43296,28.0
297,6-6,308,Michigan State,Jack Conklin,Browns,RT,6.0,79.0,5.0,43297,28.0
298,6-5,240,Georgia,Leonard Floyd,Rams,LOLB,6.0,80.0,24.0,43298,29.0
299,6-1,203,Ohio State,Eli Apple,Bengals,CB,6.0,76.0,2.0,43299,27.0
300,6-2,305,Louisville,Sheldon Rankins,Jets,DT,6.0,74.0,18.0,43301,28.0
301,6-5,313,Mississippi,Laremy Tunsil,Texans,LT,6.0,88.0,32.0,43302,28.0
302,6-7,318,Ohio State,Taylor Decker,Lions,LT,6.0,80.0,19.0,43305,28.0
303,6-1,216,Florida,Keanu Neal,Buccaneers,SS,6.0,77.0,6.0,43306,27.0
304,6-4,309,Alabama,Ryan Kelly,Colts,C,6.0,82.0,10.0,43307,29.0
305,6-3,267,Clemson,Shaq Lawson,Bills,LE,6.0,72.0,3.0,43308,28.0
307,6-0,197,Miami,Artie Burns,Seahawks,CB,6.0,72.0,28.0,43314,27.0
308,6-3,314,UCLA,Kenny Clark,Packers,DT,6.0,89.0,20.0,43316,26.0
309,6-4,275,Oklahoma State,Emmanuel Ogbah,Dolphins,LE,6.0,83.0,12.0,43321,28.0
311,6-5,250,Arkansas,Hunter Henry,Patriots,TE,6.0,84.0,22.0,43324,27.0
312,6-1,244,UCLA,Myles Jack,Steelers,MLB,6.0,82.0,29.0,43325,26.0
313,6-6,308,Mississippi State,Chris Jones,Chiefs,DT,6.0,91.0,9.0,43326,28.0
314,6-6,308,Mississippi State,Chris Jones,Raiders,CB,4.0,60.0,23.0,43326,27.0
315,6-1,200,Baylor,Xavien Howard,Dolphins,CB,6.0,89.0,12.0,43327,29.0
316,5-10,201,Oklahoma,Sterling Shepard,Giants,WR,6.0,82.0,16.0,43329,29.0
317,6-4,314,Penn State,Austin Johnson,Chargers,DT,6.0,74.0,8.0,43332,28.0
318,6-5,287,Illinois,Jihad Ward,Giants,RE,6.0,66.0,16.0,43333,28.0
319,6-3,247,Alabama,Derrick Henry,Titans,HB,6.0,97.0,30.0,43334,28.0
320,6-4,330,Alabama,A'Shawn Robinson,Rams,LE,6.0,75.0,24.0,43335,27.0
321,6-3,212,Ohio State,Michael Thomas,Saints,WR,6.0,90.0,27.0,43336,29.0
322,6-3,212,Ohio State,Michael Thomas,Bengals,SS,10.0,71.0,2.0,43336,32.0
323,6-3,306,Alabama,Jarran Reed,Packers,RE,6.0,73.0,20.0,43338,28.0
325,6-1,227,Louisiana State,Deion Jones,Falcons,MLB,6.0,82.0,14.0,43341,27.0
326,6-2,203,Pittsburgh,Tyler Boyd,Bengals,WR,6.0,84.0,2.0,43344,27.0
327,6-3,309,Kansas State,Cody Whitehair,Bears,LG,6.0,80.0,1.0,43345,30.0
328,5-11,205,Ohio State,Vonn Bell,Bengals,SS,6.0,82.0,2.0,43350,27.0
330,6-4,287,Georgia Tech,Adam Gotsis,Jaguars,RE,6.0,71.0,17.0,43352,29.0
331,5-11,212,Middle Tennessee,Kevin Byard,Titans,FS,6.0,92.0,30.0,43353,29.0
333,6-2,308,Nebraska,Maliek Collins,Texans,DT,6.0,72.0,32.0,43356,27.0
334,6-2,246,Maryland,Yannick Ngakoue,Colts,RE,6.0,82.0,10.0,43358,27.0
335,6-3,296,Florida,Jonathan Bullard,Vikings,RE,6.0,68.0,31.0,43361,28.0
336,6-1,211,Alabama,Kenyan Drake,Raiders,HB,6.0,79.0,23.0,43362,28.0
338,6-5,308,North Carolina State,Joe Thuney,Chiefs,LG,6.0,88.0,9.0,43367,29.0
339,6-4,303,Oregon State,Isaac Seumalo,Eagles,RG,6.0,72.0,13.0,43368,28.0
340,6-4,254,Stanford,Austin Hooper,Titans,TE,6.0,79.0,30.0,43370,27.0
341,5-11,198,Virginia Tech,Kendall Fuller,Commanders,CB,6.0,89.0,26.0,43373,27.0
342,6-2,235,Utah State,Nick Vigil,Cardinals,MLB,6.0,70.0,7.0,43376,29.0
343,6-2,305,South Carolina State,Javon Hargrave,Eagles,DT,6.0,84.0,13.0,43378,29.0
344,6-4,235,North Carolina State,Jacoby Brissett,Browns,QB,6.0,70.0,5.0,43380,29.0
345,6-6,261,Ohio State,Nick Vannett,Saints,TE,6.0,67.0,27.0,43383,29.0
346,6-6,310,Michigan,Graham Glasgow,Broncos,RG,6.0,76.0,4.0,43384,30.0
347,6-2,202,Boston College,Justin Simmons,Broncos,FS,6.0,91.0,4.0,43387,28.0
